lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
3e-05,32,128.0,3,0.1,0.9,0.999,0.8991,0.2562,4208,0.8968,0.2612,6312,distilbert_autogrid/results/lr_3p0000e-05_r32_a128_ep3_wd_1p0000e-01,ok
3e-05,32,64.0,3,0.01,0.9,0.999,0.8991,0.2655,4208,0.8979,0.2637,6312,distilbert_autogrid/results/lr_3p0000e-05_r32_a64_ep3_wd_1p0000e-02,ok
3e-05,8,128.0,3,0.1,0.9,0.999,0.8991,0.2681,6312,0.8991,0.2681,6312,distilbert_autogrid/results/lr_3p0000e-05_r8_a128_ep3_wd_1p0000e-01,ok
0.0003,16,32.0,3,0.01,0.9,0.999,0.8979,0.2995,6312,0.8979,0.2995,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a32_ep3_wd_1p0000e-02,ok
0.0003,64,64.0,3,0.1,0.9,0.999,0.8979,0.2691,4208,0.8945,0.3044,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a64_ep3_wd_1p0000e-01,ok
0.0003,8,32.0,3,0.01,0.9,0.999,0.8979,0.3011,6312,0.8979,0.3011,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a32_ep3_wd_1p0000e-02,ok
3e-05,128,128.0,3,0.1,0.9,0.999,0.8979,0.2631,6312,0.8979,0.2631,6312,distilbert_autogrid/results/lr_3p0000e-05_r128_a128_ep3_wd_1p0000e-01,ok
0.0003,8,64.0,3,0.1,0.9,0.999,0.8968,0.3078,6312,0.8968,0.3078,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a64_ep3_wd_1p0000e-01,ok
3e-05,32,32.0,3,0.1,0.9,0.999,0.8968,0.264,4208,0.8956,0.2641,6312,distilbert_autogrid/results/lr_3p0000e-05_r32_a32_ep3_wd_1p0000e-01,ok
3e-05,64,64.0,3,0.01,0.9,0.999,0.8968,0.2596,6312,0.8968,0.2596,6312,distilbert_autogrid/results/lr_3p0000e-05_r64_a64_ep3_wd_1p0000e-02,ok
0.0003,32,128.0,3,0.0,0.9,0.999,0.8956,0.2974,2104,0.8911,0.3497,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a128_ep3_wd_0p0000e00,ok
0.0003,32,128.0,3,0.1,0.9,0.999,0.8956,0.3001,4208,0.8956,0.3236,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a128_ep3_wd_1p0000e-01,ok
0.0003,64,128.0,3,0.1,0.9,0.999,0.8956,0.3266,6312,0.8956,0.3266,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a128_ep3_wd_1p0000e-01,ok
0.0003,8,128.0,3,0.1,0.9,0.999,0.8956,0.3107,6312,0.8956,0.3107,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a128_ep3_wd_1p0000e-01,ok
3e-05,16,64.0,3,0.0,0.9,0.999,0.8956,0.2753,6312,0.8956,0.2753,6312,distilbert_autogrid/results/lr_3p0000e-05_r16_a64_ep3_wd_0p0000e00,ok
3e-05,128,64.0,3,0.1,0.9,0.999,0.8945,0.2657,4208,0.8922,0.2657,6312,distilbert_autogrid/results/lr_3p0000e-05_r128_a64_ep3_wd_1p0000e-01,ok
3e-05,64,32.0,3,0.01,0.9,0.999,0.8945,0.2654,6312,0.8945,0.2654,6312,distilbert_autogrid/results/lr_3p0000e-05_r64_a32_ep3_wd_1p0000e-02,ok
0.0003,8,32.0,3,0.0,0.9,0.999,0.8933,0.326,6312,0.8933,0.326,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a32_ep3_wd_0p0000e00,ok
3e-05,16,64.0,3,0.1,0.9,0.999,0.8933,0.2673,6312,0.8933,0.2673,6312,distilbert_autogrid/results/lr_3p0000e-05_r16_a64_ep3_wd_1p0000e-01,ok
0.0003,16,64.0,3,0.01,0.9,0.999,0.8922,0.3043,4208,0.8899,0.3398,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a64_ep3_wd_1p0000e-02,ok
3e-05,16,64.0,3,0.01,0.9,0.999,0.8922,0.2655,6312,0.8922,0.2655,6312,distilbert_autogrid/results/lr_3p0000e-05_r16_a64_ep3_wd_1p0000e-02,ok
