lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0003,16,64.0,3,0.0,0.9,0.999,0.8853,0.2706,4208,0.8853,0.266,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a64_ep3_wd_0p0000e00,ok
0.0003,16,64.0,3,0.1,0.9,0.999,0.8853,0.2705,4208,0.8853,0.2667,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a64_ep3_wd_1p0000e-01,ok
0.0003,64,64.0,3,0.01,0.9,0.999,0.8853,0.2623,6312,0.8853,0.2623,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a64_ep3_wd_1p0000e-02,ok
0.0003,8,32.0,3,0.01,0.9,0.999,0.8853,0.2768,6312,0.8853,0.2768,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a32_ep3_wd_1p0000e-02,ok
0.0003,128,32.0,3,0.0,0.9,0.999,0.8842,0.2775,6312,0.8842,0.2775,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a32_ep3_wd_0p0000e00,ok
0.0003,64,32.0,3,0.1,0.9,0.999,0.883,0.2779,6312,0.883,0.2779,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a32_ep3_wd_1p0000e-01,ok
0.0003,8,32.0,3,0.1,0.9,0.999,0.8807,0.2809,6312,0.8807,0.2809,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a32_ep3_wd_1p0000e-01,ok
0.0003,16,32.0,3,0.1,0.9,0.999,0.8796,0.2843,6312,0.8796,0.2843,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a32_ep3_wd_1p0000e-01,ok
0.0003,32,16.0,3,0.1,0.9,0.999,0.8796,0.2903,6312,0.8796,0.2903,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a16_ep3_wd_1p0000e-01,ok
0.0003,32,32.0,3,0.1,0.9,0.999,0.8796,0.2822,4208,0.8773,0.2799,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a32_ep3_wd_1p0000e-01,ok
0.0003,8,16.0,3,0.0,0.9,0.999,0.8796,0.2842,6312,0.8796,0.2842,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a16_ep3_wd_0p0000e00,ok
0.0003,128,16.0,3,0.01,0.9,0.999,0.8784,0.2867,6312,0.8784,0.2867,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a16_ep3_wd_1p0000e-02,ok
0.0003,16,16.0,3,0.0,0.9,0.999,0.8784,0.2881,6312,0.8784,0.2881,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a16_ep3_wd_0p0000e00,ok
0.0003,32,16.0,3,0.01,0.9,0.999,0.8784,0.2826,6312,0.8784,0.2826,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a16_ep3_wd_1p0000e-02,ok
0.0003,64,16.0,3,0.0,0.9,0.999,0.8784,0.2858,6312,0.8784,0.2858,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a16_ep3_wd_0p0000e00,ok
0.0003,128,32.0,3,0.01,0.9,0.999,0.8773,0.2733,6312,0.8773,0.2733,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a32_ep3_wd_1p0000e-02,ok
0.0003,128,16.0,3,0.0,0.9,0.999,0.8761,0.2906,4208,0.8761,0.2861,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a16_ep3_wd_0p0000e00,ok
